"name","run.no.in.std.order","run.no","run.no.std.rp","SowingDate","Slope","LandCover","WaterDeficitResponse","Nresponse_and_Fertil","Phenology_cal","Yield_cal"
"1","1",1,"1","de","false","false","false","false","de","lk"
"2","2",2,"2","lk","false","false","false","false","de","de"
"3","3",3,"3","de","true","false","false","false","de","de"
"4","4",4,"4","lk","true","false","false","false","de","lk"
"5","5",5,"5","de","false","true","false","false","de","de"
"6","6",6,"6","lk","false","true","false","false","de","lk"
"7","7",7,"7","de","true","true","false","false","de","lk"
"8","8",8,"8","lk","true","true","false","false","de","de"
"9","9",9,"9","de","false","false","true","false","de","de"
"10","10",10,"10","lk","false","false","true","false","de","lk"
"11","11",11,"11","de","true","false","true","false","de","lk"
"12","12",12,"12","lk","true","false","true","false","de","de"
"13","13",13,"13","de","false","true","true","false","de","lk"
"14","14",14,"14","lk","false","true","true","false","de","de"
"15","15",15,"15","de","true","true","true","false","de","de"
"16","16",16,"16","lk","true","true","true","false","de","lk"
"17","17",17,"17","de","false","false","false","true","de","de"
"18","18",18,"18","lk","false","false","false","true","de","lk"
"19","19",19,"19","de","true","false","false","true","de","lk"
"20","20",20,"20","lk","true","false","false","true","de","de"
"21","21",21,"21","de","false","true","false","true","de","lk"
"22","22",22,"22","lk","false","true","false","true","de","de"
"23","23",23,"23","de","true","true","false","true","de","de"
"24","24",24,"24","lk","true","true","false","true","de","lk"
"25","25",25,"25","de","false","false","true","true","de","lk"
"26","26",26,"26","lk","false","false","true","true","de","de"
"27","27",27,"27","de","true","false","true","true","de","de"
"28","28",28,"28","lk","true","false","true","true","de","lk"
"29","29",29,"29","de","false","true","true","true","de","de"
"30","30",30,"30","lk","false","true","true","true","de","lk"
"31","31",31,"31","de","true","true","true","true","de","lk"
"32","32",32,"32","lk","true","true","true","true","de","de"
"33","33",33,"33","de","false","false","false","false","lk","de"
"34","34",34,"34","lk","false","false","false","false","lk","lk"
"35","35",35,"35","de","true","false","false","false","lk","lk"
"36","36",36,"36","lk","true","false","false","false","lk","de"
"37","37",37,"37","de","false","true","false","false","lk","lk"
"38","38",38,"38","lk","false","true","false","false","lk","de"
"39","39",39,"39","de","true","true","false","false","lk","de"
"40","40",40,"40","lk","true","true","false","false","lk","lk"
"41","41",41,"41","de","false","false","true","false","lk","lk"
"42","42",42,"42","lk","false","false","true","false","lk","de"
"43","43",43,"43","de","true","false","true","false","lk","de"
"44","44",44,"44","lk","true","false","true","false","lk","lk"
"45","45",45,"45","de","false","true","true","false","lk","de"
"46","46",46,"46","lk","false","true","true","false","lk","lk"
"47","47",47,"47","de","true","true","true","false","lk","lk"
"48","48",48,"48","lk","true","true","true","false","lk","de"
"49","49",49,"49","de","false","false","false","true","lk","lk"
"50","50",50,"50","lk","false","false","false","true","lk","de"
"51","51",51,"51","de","true","false","false","true","lk","de"
"52","52",52,"52","lk","true","false","false","true","lk","lk"
"53","53",53,"53","de","false","true","false","true","lk","de"
"54","54",54,"54","lk","false","true","false","true","lk","lk"
"55","55",55,"55","de","true","true","false","true","lk","lk"
"56","56",56,"56","lk","true","true","false","true","lk","de"
"57","57",57,"57","de","false","false","true","true","lk","de"
"58","58",58,"58","lk","false","false","true","true","lk","lk"
"59","59",59,"59","de","true","false","true","true","lk","lk"
"60","60",60,"60","lk","true","false","true","true","lk","de"
"61","61",61,"61","de","false","true","true","true","lk","lk"
"62","62",62,"62","lk","false","true","true","true","lk","de"
"63","63",63,"63","de","true","true","true","true","lk","de"
"64","64",64,"64","lk","true","true","true","true","lk","lk"
